Drill Down,Daily P&L,Financial Instrument,Underlying Price,Position,Market Value,Avg Price,Unrealized P&L,Last,Change,Realized P&L,Mark,
NoMD,1,ASX,NoMD,5,216,40.41,14,43.19,0.19999999999999574,NoMD,43.189998626708984,
NoMD,2,BE,NoMD,1,291,304.55,'-13,291.22,1.7200000000000273,NoMD,291.2200012207031,
NoMD,'-6,CRDO,NoMD,3,771,258.394,'-4,257.26,'-1.830000000000041,NoMD,257.0899963378906,
NoMD,'-1,GOOG,NoMD,1,357,358.921,'-2,356.60,'-1.2899999999999636,NoMD,356.6000061035156,
NoMD,'-1,HOOD,NoMD,2,216,107.601,1,108.05,'-0.6000000000000085,NoMD,108.05000305175781,
NoMD,'-3,JNJ,NoMD,6,"1,521",211.228,253,253.90,'-0.0800000000000125,NoMD,253.4499969482422,
NoMD,'-2,MRK,NoMD,4,499,119.74,20,124.77,'-0.6000000000000085,NoMD,124.7699966430664,
,1,MSFT,,1,385,385.301,0,385.13,0.8499999999999659,,385.1300048828125,
NoMD,'-1,NVDA,NoMD,1,197,209.62,'-13,197.01,'-0.5700000000000216,NoMD,197.00999450683594,
NoMD,'-3,PG,NoMD,6,881,146.979,'-1,146.87,'-0.5600000000000023,NoMD,146.87049865722656,
NoMD,0,RKLB,NoMD,2,200,104.761,'-9,100.06,'-0.010000000000005116,NoMD,100.05999755859375,
NoMD,'-3,UNH,NoMD,2.5,"1,064",392.964,81,425.61,'-0.9300000000000068,NoMD,425.5,
